guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
SRBD1-3,SRBD1,89,14,0.14349006116390228,0.393700510263443,0.1409151554107666,0.5418954491615295,-0.009437145665287971,5.2193792199571486e-05,0.5154380949551077,-0.017415067205103846,8.974038390272076e-05,0.6977982610216159,True,False,False,Stim48hr,24
C1QC-2,C1QC,59,13,3.6359342630021274e-05,0.008648453280329704,0.0,0.18272821605205536,-0.009444610215723515,0.1617442142102684,0.893707130140206,-0.051686654747578484,0.1914785596959725,1.0,False,False,False,Stim48hr,24
KCNA7-4,KCNA7,140,11,6.450659566326067e-05,0.13244874775409698,0.0,0.5018060803413391,-0.009561452083289623,2.373543363405971e-05,0.8965089040466968,-0.019054077775992113,4.2125048882069935e-05,1.0,True,False,False,Stim48hr,24
SLC5A9-4,SLC5A9,73,14,4.06617546104826e-05,0.15909285843372345,0.0,0.4789293706417084,-0.009605588391423225,0.002517256301650338,0.8975531559884387,-0.02005637778813373,0.0037274896724640155,1.0,True,False,False,Stim48hr,24
VSTM2B-4,VSTM2B,34,10,2.4522889361833222e-05,1.3416670560836792,0.0,2.1229584217071533,-0.009612186811864376,2.0336444041046495e-10,0.8977086169503752,-0.004527732014711265,5.263429326843868e-10,1.0,True,False,False,Stim48hr,24
PPP3CA-2,PPP3CA,14,24,0.12488177418708801,0.3636772036552429,0.1223575696349144,0.49926361441612244,-0.009682356379926205,0.08411947873297168,0.5211191987428477,-0.019393274615554554,0.10445090183521963,0.7041621422410745,False,False,False,Stim48hr,24
FOXG1-4,FOXG1,214,23,5.9306919865775853e-05,0.0050033219158649445,0.0,0.09486861526966095,-0.009704447351396084,0.16211129007801967,0.8998643360125171,-0.10229354907111808,0.19163849879421876,1.0,False,False,False,Stim48hr,24
SCGB3A2-3,SCGB3A2,181,22,4.0144492231775075e-05,0.0,0.0,-0.009784538298845291,-0.009784538298845291,0.9017086642668941,0.9017086642668941,,0.9481740351433535,1.0,False,False,False,Stim48hr,24
TSPAN11-2,TSPAN11,85,15,4.724039899883792e-05,0.04223868250846863,0.0,0.29667338728904724,-0.009853988885879517,0.028167119809708974,0.9032877053749494,-0.033214940429688186,0.03726032739290531,1.0,True,False,False,Stim48hr,24
TDRD5-1,TDRD5,99,10,2.1701891455450095e-05,0.6185333132743835,0.0,1.0450719594955444,-0.009975433349609375,2.965276009624928e-11,0.9060039725174668,-0.009545211943514886,8.209807416918315e-11,1.0,True,False,False,Stim48hr,24
