guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
APEX1-3,APEX1,97,12,0.5383728742599487,0.9936506748199463,0.35354581475257874,0.7587211728096008,-0.3490798771381378,1.1655148001985485e-09,0.8654094532242121,-0.4600898059104758,3.102240886100614e-09,1.0,True,False,False,Rest,24
ATG101-4,ATG101,179,12,0.29175591468811035,0.3508249521255493,0.1687028855085373,0.14610333740711212,-0.34933793544769287,0.029574394067865644,0.9043651181207784,-2.3910332347458585,0.04099041664846663,1.0,True,False,False,Rest,24
ATP5L-4,ATP5MG,47,10,1.1072213649749756,1.1214702129364014,0.910291314125061,0.024746276438236237,-0.34961313009262085,0.43675557044215874,0.842162407367535,-14.127908534652219,0.49004890982880916,1.0,False,False,False,Rest,24
ZNF649-3,ZNF649,84,10,0.041386280208826065,0.0393332913517952,0.0,-0.013434604741632938,-0.350231796503067,0.554353884323236,1.0,,0.6116184119314292,1.0,False,False,False,Rest,24
MORN4-1,MORN4,61,10,0.04286224767565727,0.09358629584312439,0.0,0.2177806943655014,-0.35054564476013184,0.08145489676379164,1.0,-1.6096268118780583,0.10535430053954149,1.0,False,False,False,Rest,24
PIGA-2,PIGA,92,11,0.0366307757794857,0.03336796164512634,0.0,-0.022926336154341698,-0.3518063724040985,0.5898333851762709,1.0,,0.6476062447317825,1.0,False,False,False,Rest,24
GALT-4,GALT,64,11,0.3452296853065491,0.713550865650177,0.2084052562713623,0.6324924230575562,-0.35191065073013306,3.764760832836843e-05,0.9017151945013605,-0.5563871406220934,7.006836654410127e-05,1.0,True,False,False,Rest,24
DUS3L-4,DUS3L,92,15,0.19679780304431915,0.22347885370254517,0.0812215730547905,0.07704102993011475,-0.3533646762371063,0.23564953918314197,0.9116408392842816,-4.586707583707662,0.2773595076185581,1.0,False,False,False,Rest,24
DEPDC1B-4,DEPDC1B,63,12,0.2892182469367981,0.2628115713596344,0.1453648805618286,-0.06081152707338333,-0.354606568813324,0.6962000042577046,0.9137686632150974,,0.7555111608070425,1.0,False,False,False,Rest,24
LARP7-1,LARP7,54,14,0.48019370436668396,0.4461280107498169,0.31768158078193665,-0.06799496710300446,-0.35570433735847473,0.6825848381676471,0.9069007389327697,,0.7422416431294537,1.0,False,False,False,Rest,24
